1XD42-69 sp014287635
CAG-724 sp003524145
CAG-724 sp900551005
CAG-762 sp000432575
CAG-762 sp900551315
CAG-776 sp000438195
CAG-776 sp900549285
CAG-776 sp900758895
CAG-791 sp000431495
CAG-791 sp900315055
CAG-793 sp000433915
CAG-793 sp900557475
CAG-81 sp000435795
CAG-81 sp900066055
CAG-81 sp900066535
CAG-81 sp900066785
CAG-81 sp900541255
CAG-81 sp900556965
CAG-822 sp000432855
CAG-822 sp900546055
CAG-826 sp000437235
CAG-831 sp000432775
CAG-831 sp900544175
CAG-831 sp900550465
CAG-831 sp900769885
CAG-831 sp900771335
CAG-831 sp902388455
CAG-83 sp000431575
CAG-83 sp000435555
CAG-83 sp000435975
CAG-83 sp001916855
CAG-83 sp003487665
CAG-83 sp003539495
CAG-83 sp900313295
CAG-83 sp900545495
CAG-83 sp900545585
CAG-83 sp900547745
CAG-83 sp900548615
CAG-83 sp900549395
CAG-83 sp900550585
CAG-83 sp900550615
CAG-83 sp900551355
CAG-83 sp900551995
CAG-83 sp900552475
CAG-83 sp900552725
CAG-83 sp900554275
CAG-83 sp900555735
CAG-83 sp900556015
CAG-83 sp900756715
CAG-83 sp902388735
CAG-841 sp000437375
CAG-841 sp002479075
CAG-841 sp900544285
CAG-873 sp001701165
CAG-873 sp002493945
CAG-873 sp004552485
CAG-873 sp004552725
CAG-873 sp009775195
CAG-873 sp900540625
CAG-873 sp900541865
CAG-873 sp900548975
CAG-873 sp900550395
CAG-873 sp900554265
CAG-873 sp900554715
CAG-873 sp900555715
CAG-873 sp900755985
CAG-873 sp900759825
CAG-873 sp900759845
CAG-877 sp000433455
CAG-877 sp900548695
CAG-877 sp900552495
CAG-877 sp900554305
CAG-877 sp900554315
CAG-877 sp900753325
CAG-877 sp900768815
CAG-878 sp000432255
CAG-882 sp000435595
CAG-882 sp003486385
CAG-882 sp900545175
CAG-882 sp900545455
CAG-884 sp000433875
CAG-914 sp000437895
CAG-917 sp000437555
CAG-95 sp000436115
CAG-95 sp000438155
CAG-95 sp900066375
CAG-95 sp900553305
CAG-95 sp900554925
CAG-964 sp000435335
CAG-964 sp902789345
CAG-977 sp000434295
CAG-977 sp900553035
CAG-977 sp900768845
CAG-988 sp003149915
Campylobacter_A concisus
Campylobacter_A concisus_B
Campylobacter_A concisus_E
Campylobacter_A concisus_F
Campylobacter_A concisus_G
Campylobacter_A concisus_I
Campylobacter_A concisus_K
Campylobacter_A concisus_L
Campylobacter_A concisus_P
Campylobacter_A concisus_Q
Campylobacter_A concisus_R
Campylobacter_A concisus_W
Campylobacter_A curvus
Campylobacter_B hominis
Campylobacter_B sp900539505
Campylobacter_B ureolyticus
Campylobacter_D coli
Campylobacter_D coli_A
Campylobacter_D coli_B
Campylobacter_D jejuni
Campylobacter_D sp900539255
Campylobacter_D upsaliensis
Campylobacter fetus
Campylobacter hyointestinalis
Campylobacter lanienae
Campylobacter sp013416015
Campylobacter sp900753405
Campylobacter testudinum
Capnocytophaga ochracea
Caproiciproducens sp000752215
Caproiciproducens sp900546895
Cardiobacterium valvarum
Catenibacillus sp900553975
Catenibacillus sp900557175
Catenibacillus sp902363555
Catenibacterium mitsuokai
Catenibacterium sp000437715
Catenibacterium sp900540665
Catenibacterium sp900540685
Catenibacterium sp900764565
Catenibacterium sp900764725
Caulobacter sp903900155
Cedecea davisae
Cellulomonas massiliensis
Cellulomonas timonensis
Cellulosilyticum sp900556665
Centipeda artemidis
Cetobacterium_A somerae
Cetobacterium_A sp900766645
CHH4-2 sp002899675
Chimaeribacter arupi
Chimaeribacter coloradensis
Christensenella hongkongensis
Christensenella minuta
Christensenella sp001678845
Christensenella timonensis
Chryseobacterium gambrini
Citrobacter_A amalonaticus
Citrobacter_A farmeri
Citrobacter_A sedlakii
Citrobacter_A sp009363175
Citrobacter_B koseri
Citrobacter braakii
Citrobacter europaeus
Citrobacter freundii
Citrobacter gillenii
Citrobacter portucalensis
Citrobacter portucalensis_A
Citrobacter werkmanii
Citrobacter youngae
Cloacibacillus evryensis
Cloacibacillus porcorum
Clostridioides difficile
Clostridioides difficile_A
Clostridium_AA polynesiense
Clostridium_A leptum
Clostridium_AP scindens
Clostridium_AQ innocuum
Clostridium_AQ sp000165065
Clostridium_AQ sp003481775
Clostridium_AQ sp900552125
Clostridium baratii
Clostridium beijerinckii
Clostridium_B sp902809985
Clostridium_B tyrobutyricum
Clostridium butyricum
Clostridium celatum
Clostridium cuniculi
Clostridium disporicum_A
Clostridium_E jeddahense
Clostridium_E merdae
Clostridium_E sporosphaeroides
Clostridium_F botulinum
Clostridium_F botulinum_A
Clostridium_F niameyense
Clostridium_F tepidum
Clostridium_G cochlearium
Clostridium_G tetani
Clostridium_H massiliodielmoense
Clostridium_J ihumii
Clostridium_J senegalense
Clostridium_J sp000821305
Clostridium_J sp900547625
Clostridium_J sp900548455
Clostridium_J sp902363375
Clostridium_L amazonitimonense
Clostridium neonatale
Clostridium nigeriense
Clostridium paraputrificum
Clostridium_P massiliamazoniense
Clostridium_P mediterraneense
Clostridium_P perfringens
Clostridium_P ventriculi
Clostridium_Q saccharolyticum_A
Clostridium_Q sp000435655
Clostridium_Q sp003024715
Clostridium_Q sp900547735
Clostridium_Q symbiosum
Clostridium saudiense
Clostridium septicum
Clostridium sp000435835
Clostridium sp001916075
Clostridium sp900539375
Clostridium sp900540255
Clostridium sp900543325
Clostridium sp900547475
Clostridium sp900759995
Clostridium sp900766315
Clostridium sp900769625
Clostridium tertium
Clostridium_X cadaveris
COE1 sp001916965
COE1 sp900753305
Cohnella sp900169535
Collinsella aerofaciens
Collinsella aerofaciens_A
Collinsella aerofaciens_E
Collinsella aerofaciens_F
Collinsella aerofaciens_G
Collinsella aerofaciens_H
Collinsella aerofaciens_J
Collinsella aerofaciens_K
Collinsella aerofaciens_N
Collinsella bouchesdurhonensis
Collinsella ihuae
Collinsella intestinalis
Collinsella phocaeensis
Collinsella provencensis
Collinsella sp000434535
Collinsella sp000763055
Collinsella sp002232035
Collinsella sp002391315
Collinsella sp003436275
Collinsella sp003437035
Collinsella sp003438495
Collinsella sp003439125
Collinsella sp003458415
Collinsella sp003459505
Collinsella sp003462685
Collinsella sp003466125
Collinsella sp003469185
Collinsella sp003469205
Collinsella sp003470665
Collinsella sp003471585
Collinsella sp003479805
Collinsella sp003487125
Collinsella sp008014645
Collinsella sp900539035
Collinsella sp900539735
Collinsella sp900540095
Collinsella sp900540845
Collinsella sp900540855
Collinsella sp900540875
Collinsella sp900540895
Collinsella sp900540905
Collinsella sp900540935
Collinsella sp900540945
Collinsella sp900540985
Collinsella sp900540995
Collinsella sp900541015
Collinsella sp900541025
Collinsella sp900541035
Collinsella sp900541045
Collinsella sp900541055
Collinsella sp900541065
Collinsella sp900541125
Collinsella sp900541135
Collinsella sp900541145
Collinsella sp900541185
Collinsella sp900541195
Collinsella sp900541205
Collinsella sp900541235
Collinsella sp900541245
Collinsella sp900541285
Collinsella sp900541475
Collinsella sp900541645
Collinsella sp900541665
Collinsella sp900541685
Collinsella sp900541695
Collinsella sp900541715
Collinsella sp900541725
Collinsella sp900541745
Collinsella sp900541785
Collinsella sp900541795
Collinsella sp900541875
Collinsella sp900541885
Collinsella sp900542125
Collinsella sp900542155
Collinsella sp900542165
Collinsella sp900542235
Collinsella sp900542275
Collinsella sp900542305
Collinsella sp900542315
Collinsella sp900542325
Collinsella sp900542555
Collinsella sp900542635
Collinsella sp900542825
Collinsella sp900542905
Collinsella sp900542945
Collinsella sp900542965
Collinsella sp900543025
Collinsella sp900543515
Collinsella sp900543605
Collinsella sp900543615
Collinsella sp900543845
Collinsella sp900544065
Collinsella sp900544095
Collinsella sp900544115
Collinsella sp900544135
Collinsella sp900544205
Collinsella sp900544225
Collinsella sp900544235
Collinsella sp900544425
Collinsella sp900544465
Collinsella sp900544725
Collinsella sp900544755
Collinsella sp900544845
Collinsella sp900544865
Collinsella sp900544875
